                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.962,                 28.322,                  3.356,                      0,                      0,                      0,                      0,                   3.92,                 5.2383,                 2.1894,              0.0033301,              0.0033301,              0.0033301
                      2,                 3.3836,                 6.1177,                 1.8245,                0.38072,                0.04772,                0.02034,                0.00721,                 2.4942,                  3.586,                 1.4383,              0.0066568,              0.0066568,              0.0066568
                      3,                 2.5414,                 3.6909,                  1.392,                0.35654,                0.13439,                0.07711,                0.03036,                 2.2943,                  2.958,                 1.3275,              0.0099769,              0.0099769,              0.0099769
                      4,                 2.3511,                 3.0767,                 1.3125,                0.36841,                0.21702,                0.15669,                0.06513,                 2.0973,                 2.4997,                 1.2522,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2468,                 2.7556,                 1.2733,                0.32507,                0.29848,                0.23433,                0.10289,                 1.9925,                 2.3139,                 1.2235,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.1826,                 2.5547,                 1.2396,                0.37272,                0.31963,                0.28583,                0.12442,                 1.9717,                 2.1566,                 1.2098,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.1328,                 2.4205,                 1.2259,                0.33631,                 0.3309,                0.29943,                0.13343,                 1.9492,                 2.0411,                    1.2,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.0989,                 2.3113,                 1.2103,                0.42569,                0.37704,                0.36733,                0.16369,                 1.9216,                 1.9659,                 1.1844,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.0762,                 2.2144,                 1.1996,                  0.396,                0.38141,                0.37039,                0.16752,                 1.9206,                 1.9515,                 1.1778,              0.0099307,              0.0099307,              0.0099307
                     10,                 2.0493,                 2.1275,                 1.1982,                 0.4776,                 0.3881,                0.39997,                0.18426,                 1.8597,                 1.8324,                 1.1537,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.0317,                 2.0689,                 1.1809,                0.48708,                0.39215,                0.42664,                0.20149,                 1.8571,                 1.7861,                 1.1529,              0.0099109,              0.0099109,              0.0099109
                     12,                 2.0101,                  2.005,                 1.1782,                0.48155,                0.42684,                0.45155,                 0.2167,                 1.8746,                  1.721,                 1.1645,               0.009901,               0.009901,               0.009901
                     13,                 1.9889,                  1.931,                 1.1646,                0.50405,                0.45696,                 0.4661,                0.21875,                 1.8363,                 1.6856,                 1.1434,              0.0098911,              0.0098911,              0.0098911
