                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9864,                 28.027,                 3.3578,                      0,                      0,                      0,                      0,                 3.9416,                 5.2601,                 2.2023,              0.0033301,              0.0033301,              0.0033301
                      2,                 3.3657,                 6.2962,                 1.8191,                 0.2294,                0.02381,                0.01421,                0.00524,                 2.6081,                 3.8485,                 1.4936,              0.0065974,              0.0065974,              0.0065974
                      3,                  2.578,                 3.6715,                 1.4005,                0.40758,                0.14891,                0.08123,                0.03307,                 2.2529,                 2.9792,                   1.32,              0.0097988,              0.0097988,              0.0097988
                      4,                 2.3586,                 3.0576,                   1.31,                0.41712,                0.18372,                0.15818,                0.06904,                 2.0924,                 2.5298,                 1.2546,               0.009703,               0.009703,               0.009703
                      5,                 2.2492,                 2.7459,                 1.2743,                0.30448,                0.28768,                0.21794,                0.09259,                 2.0696,                 2.3135,                 1.2507,               0.009703,               0.009703,               0.009703
                      6,                 2.1857,                 2.5338,                  1.242,                0.41278,                 0.2954,                0.27474,                0.11613,                 1.9961,                 2.1661,                 1.2181,               0.009604,               0.009604,               0.009604
                      7,                 2.1425,                 2.3996,                 1.2278,                0.43892,                0.34727,                0.33337,                0.14938,                 1.9758,                 2.0288,                 1.2029,               0.009505,               0.009505,               0.009505
                      8,                 2.1096,                 2.2917,                 1.2136,                0.41631,                0.33952,                 0.3449,                 0.1525,                 1.9569,                 1.9711,                 1.1945,               0.009406,               0.009406,               0.009406
                      9,                  2.081,                 2.1977,                 1.1995,                0.40928,                0.38091,                0.38065,                0.17122,                 1.9103,                 1.9235,                 1.1728,               0.009307,               0.009307,               0.009307
                     10,                 2.0514,                 2.0914,                 1.1945,                0.55857,                0.37459,                0.42101,                0.18963,                 1.9099,                  1.843,                 1.1755,               0.009208,               0.009208,               0.009208
                     11,                 2.0313,                 2.0351,                   1.18,                0.55362,                 0.3988,                0.42423,                0.19666,                 1.8756,                 1.7729,                 1.1585,               0.009109,               0.009109,               0.009109
                     12,                 2.0136,                 1.9749,                 1.1769,                0.55407,                0.40084,                 0.4444,                0.20642,                 1.8562,                 1.7306,                 1.1539,                0.00901,                0.00901,                0.00901
                     13,                      2,                 1.9183,                  1.169,                0.50001,                0.45109,                0.46101,                0.21544,                 1.8594,                 1.7313,                 1.1468,               0.008911,               0.008911,               0.008911
                     14,                 1.9853,                 1.8801,                 1.1656,                0.62236,                0.44032,                0.49859,                0.22695,                  1.847,                 1.6563,                 1.1468,               0.008812,               0.008812,               0.008812
                     15,                 1.9671,                   1.83,                 1.1574,                0.58221,                0.48031,                0.51355,                0.24047,                 1.8349,                 1.6033,                 1.1392,               0.008713,               0.008713,               0.008713
                     16,                 1.9536,                 1.7972,                 1.1482,                0.54852,                0.50038,                0.52937,                0.24745,                 1.8248,                 1.5603,                 1.1335,               0.008614,               0.008614,               0.008614
                     17,                 1.9417,                 1.7653,                 1.1504,                0.59382,                0.51274,                0.54232,                0.25735,                 1.8023,                 1.5349,                 1.1259,               0.008515,               0.008515,               0.008515
                     18,                  1.936,                 1.7319,                 1.1456,                0.63845,                0.49233,                0.56376,                0.26418,                 1.8202,                 1.5031,                 1.1326,               0.008416,               0.008416,               0.008416
                     19,                 1.9261,                 1.6825,                 1.1424,                0.67071,                0.51051,                0.57323,                0.27547,                 1.8167,                 1.4789,                 1.1314,               0.008317,               0.008317,               0.008317
                     20,                 1.9137,                 1.6746,                 1.1385,                0.61665,                0.52818,                0.58213,                0.27018,                 1.8042,                 1.4566,                 1.1202,               0.008218,               0.008218,               0.008218
                     21,                 1.9088,                 1.6411,                  1.129,                0.67329,                0.51829,                0.59584,                0.28369,                 1.8068,                 1.4246,                 1.1229,               0.008119,               0.008119,               0.008119
